Title,Content
Think I'm Going Crazy Over You (Jupiter mix),PARAGⴲN CAUSE
Heart of Stone,The Raveonettes
Magic Powers,Death Valley Girls
I Can't Get Next to You,Al Green
Femme Fatale,Aloe Blacc
Prism,Say She She
I Won’t Tell,Baby Rose feat. Smino
God Is a Circle,Yves Tumor
Ode to Subterrania,Hooded Fang
Pretend We’re Dead,L7
Days Move Slow,Bully
Born on a Day the Sun Didn't Rise,Black Moth Super Rainbow
Fade to Grey (original version),Visage
Chateau D'eau,Double Mixte
Sharevari,Aidan Noell & Nancy Whang
Office Boy (CSS remix),Bonde do Rolê
Bridge to Hawaii,Tacocat
Transmission,Joy Division
Wishbone,Django Django
To be honest,Christine and the Queens
Weightless,Arlo Parks
Sheena Is a Punk Rocker,Ramones
Slugs of Love,Little Dragon
All I Want,Ride
Automatic,Waves Crashing
Aged Eyes,Alfa Mist feat. Kaya Thomas‐Dyke
This Is What You Did,This Is the Kit
Virginia Reel Around the Fountain,The Halo Benders
Feel the Pain,Dinosaur Jr.
Thin Air,Tanukichan feat Enumclaw
Candle Flame,Jungle feat. Erick the Architect
Home Again,Ger Eaton
La Femme Parallel,Thievery Corporation
Polyfusion,Seefeel
Undertow,Lush
Huarache Lights,Hot Chip
Bubblegum,Dawn Richard
Money (That’s What I Want),The Flying Lizards
Parler,Social Dance
Close Edge,Mos Def
Craftsman,Wax Tailor
Too Much Music,Jake Shears
Special,Garbage
My Own Dead,Black Ends
Let’s Go Crazy,Prince and The Revolution
The Pioneers (M83 remix),Bloc Party
Midnight Flit,Mogwai
Ghosts Again,Depeche Mode
Oil,Gorillaz feat. Stevie Nicks
